review,aspect,negative,neutral,positive
"Only thing bad is camera quality. Worst image processing device. Speed is good. Charging is ok.. heats up normally. Not more or less . Backup is ok but not best.
50MP cam for a large file jpeg with 8k resolution size, but the pixel quality sucks.
ONLY BUY IF YOU DONT USE CAMERA MUCH OR DONT BOTHER ABOUT CLEAR RICH IMAGES SHOT FROM THIS PHONE",Only thing,0.9734028,0.013430357,0.013166943
"Only thing bad is camera quality. Worst image processing device. Speed is good. Charging is ok.. heats up normally. Not more or less . Backup is ok but not best.
50MP cam for a large file jpeg with 8k resolution size, but the pixel quality sucks.
ONLY BUY IF YOU DONT USE CAMERA MUCH OR DONT BOTHER ABOUT CLEAR RICH IMAGES SHOT FROM THIS PHONE",camera quality,0.9913571,0.0057038786,0.0029390478
"Only thing bad is camera quality. Worst image processing device. Speed is good. Charging is ok.. heats up normally. Not more or less . Backup is ok but not best.
50MP cam for a large file jpeg with 8k resolution size, but the pixel quality sucks.
ONLY BUY IF YOU DONT USE CAMERA MUCH OR DONT BOTHER ABOUT CLEAR RICH IMAGES SHOT FROM THIS PHONE",Worst image processing device,0.9908221,0.0045899046,0.004587988
"Only thing bad is camera quality. Worst image processing device. Speed is good. Charging is ok.. heats up normally. Not more or less . Backup is ok but not best.
50MP cam for a large file jpeg with 8k resolution size, but the pixel quality sucks.
ONLY BUY IF YOU DONT USE CAMERA MUCH OR DONT BOTHER ABOUT CLEAR RICH IMAGES SHOT FROM THIS PHONE",Speed,0.024918843,0.008329833,0.9667514
"Only thing bad is camera quality. Worst image processing device. Speed is good. Charging is ok.. heats up normally. Not more or less . Backup is ok but not best.
50MP cam for a large file jpeg with 8k resolution size, but the pixel quality sucks.
ONLY BUY IF YOU DONT USE CAMERA MUCH OR DONT BOTHER ABOUT CLEAR RICH IMAGES SHOT FROM THIS PHONE",heats,0.6601894,0.25979877,0.08001187
"Only thing bad is camera quality. Worst image processing device. Speed is good. Charging is ok.. heats up normally. Not more or less . Backup is ok but not best.
50MP cam for a large file jpeg with 8k resolution size, but the pixel quality sucks.
ONLY BUY IF YOU DONT USE CAMERA MUCH OR DONT BOTHER ABOUT CLEAR RICH IMAGES SHOT FROM THIS PHONE",Backup,0.83712536,0.108633205,0.054241464
"Only thing bad is camera quality. Worst image processing device. Speed is good. Charging is ok.. heats up normally. Not more or less . Backup is ok but not best.
50MP cam for a large file jpeg with 8k resolution size, but the pixel quality sucks.
ONLY BUY IF YOU DONT USE CAMERA MUCH OR DONT BOTHER ABOUT CLEAR RICH IMAGES SHOT FROM THIS PHONE",50MP cam,0.8509597,0.06053551,0.08850476
"Only thing bad is camera quality. Worst image processing device. Speed is good. Charging is ok.. heats up normally. Not more or less . Backup is ok but not best.
50MP cam for a large file jpeg with 8k resolution size, but the pixel quality sucks.
ONLY BUY IF YOU DONT USE CAMERA MUCH OR DONT BOTHER ABOUT CLEAR RICH IMAGES SHOT FROM THIS PHONE",a large file jpeg,0.32615906,0.047386006,0.62645495
"Only thing bad is camera quality. Worst image processing device. Speed is good. Charging is ok.. heats up normally. Not more or less . Backup is ok but not best.
50MP cam for a large file jpeg with 8k resolution size, but the pixel quality sucks.
ONLY BUY IF YOU DONT USE CAMERA MUCH OR DONT BOTHER ABOUT CLEAR RICH IMAGES SHOT FROM THIS PHONE",8k resolution size,0.6429416,0.0406283,0.31643006
"Only thing bad is camera quality. Worst image processing device. Speed is good. Charging is ok.. heats up normally. Not more or less . Backup is ok but not best.
50MP cam for a large file jpeg with 8k resolution size, but the pixel quality sucks.
ONLY BUY IF YOU DONT USE CAMERA MUCH OR DONT BOTHER ABOUT CLEAR RICH IMAGES SHOT FROM THIS PHONE",the pixel quality,0.99555284,0.0022058883,0.0022412299
